name,fips,gfips,pop,Age0,Age5,Age10,Age15,Age20,Age25,Age30,Age35,Age40,Age45,Age50,Age55,Age60,Age65,Age70,Age75,Age80,Age85,Age90,Age95
Cañon City city,11810,10811810,17141,805,891,968,957,792,958,1105,1090,924,966,941,1202,1210,1246,1114,826,559,357,177,53
Carbondale town,12045,10812045,6434,330,415,460,369,306,503,527,526,517,454,389,345,332,297,289,147,89,79,45,15
Castle Rock town,12415,10812415,73158,4904,5745,6323,5532,3445,4104,5037,5825,5677,5806,5041,4299,3512,2865,2321,1422,714,353,161,72
Cedaredge town,12635,10812635,2279,84,111,122,119,81,84,92,84,110,94,103,171,173,275,221,158,116,57,16,8
Centennial city,12815,10812815,108418,5562,6830,7786,7213,5150,5948,6731,7749,7487,7480,7078,7274,7348,6309,5264,3333,1881,1230,569,196
Center town,12855,10812855,1929,141,153,168,164,94,133,117,113,95,97,126,140,127,92,73,48,24,17,6,1
Central City city,12910,10812910,779,20,31,34,34,48,49,57,48,53,72,47,84,68,55,44,15,13,6,0,1
Cheraw town,13460,10813460,237,16,18,12,13,15,8,11,10,15,21,14,10,24,22,12,10,4,2,0,0
Cherry Hills Village city,13845,10813845,6442,270,492,651,661,245,133,119,250,363,551,492,476,453,407,367,230,159,75,31,17
Cheyenne Wells town,14175,10814175,758,27,47,52,35,38,37,49,36,37,35,38,68,67,75,37,19,25,12,17,7
City of Creede town,14765,10814765,257,7,6,4,3,9,13,21,24,3,20,18,18,31,31,20,6,16,1,3,3
Coal Creek town,15330,10815330,364,15,17,25,20,17,12,16,31,23,17,24,28,31,33,30,13,7,2,1,2
Cokedale town,15550,10815550,127,3,7,6,8,4,6,6,9,7,8,5,11,11,8,13,4,3,2,1,5
Collbran town,15605,10815605,369,14,16,20,25,22,15,16,17,21,24,22,49,25,32,18,25,4,3,1,0
Colorado Springs city,16000,10816000,478961,28105,29914,30934,30258,36359,39624,37405,34213,29050,27343,26930,30026,28472,23861,18864,12026,7782,4945,2171,679
Columbine Valley town,16385,10816385,1502,56,104,118,86,63,25,24,85,74,105,97,94,137,113,149,71,55,33,11,2
Commerce City city,16495,10816495,62418,4914,5354,5598,4783,3620,4407,5286,5681,5001,4148,3358,2832,2556,2005,1341,738,442,226,90,38
Cortez city,17375,10817375,8766,498,654,592,507,442,576,639,565,459,466,428,510,561,613,427,323,208,166,98,34
Craig city,17760,10817760,9060,581,648,709,626,511,642,668,626,566,480,488,548,609,498,344,235,129,90,50,12
Crawford town,17925,10817925,403,19,19,26,26,16,24,25,20,24,26,27,23,25,44,22,26,7,3,0,1
Crested Butte town,18310,10818310,1639,35,75,99,83,82,153,169,137,124,144,169,114,83,75,54,32,8,3,0,0
Crestone town,18420,10818420,141,6,7,4,10,6,2,9,7,12,10,4,10,9,21,12,7,2,2,0,1
Cripple Creek city,18530,10818530,1155,43,49,45,50,58,80,68,76,63,76,83,94,100,109,77,40,21,17,2,4
Crook town,18640,10818640,133,7,5,10,11,5,5,12,9,6,5,9,8,12,12,8,7,0,0,1,1
Crowley town,18750,10818750,166,9,6,7,10,5,6,4,10,11,12,14,17,13,15,12,5,5,2,3,0
Dacono city,19080,10819080,6297,491,513,458,385,347,456,588,529,438,379,367,389,318,255,180,109,50,29,14,2
Delta city,19850,10819850,9035,520,635,644,574,488,550,528,509,468,459,509,562,622,553,467,367,263,179,96,42
De Beque town,19355,10819355,493,34,34,39,27,24,45,33,35,18,25,28,44,38,23,23,18,1,1,1,2
Deer Trail town,19630,10819630,1068,99,98,68,65,58,92,98,71,65,45,67,52,76,44,23,17,16,7,4,3
Del Norte town,19795,10819795,1458,72,88,84,86,56,76,95,74,100,77,92,103,104,117,95,62,31,27,8,11
Denver city,20000,10820000,715522,38401,37249,37714,35611,50339,88813,82655,64272,48817,41899,36916,34373,32705,29533,23490,14274,8863,5550,3027,1021
Dillon town,20440,10820440,1064,40,36,46,43,65,99,104,77,67,58,75,79,95,62,61,30,21,4,0,2
Dinosaur town,20495,10820495,243,10,10,14,12,7,12,14,14,12,8,15,26,28,23,16,14,4,2,1,1
Dolores town,20770,10820770,885,49,38,57,64,37,60,47,68,44,57,73,61,54,56,56,29,17,4,11,3
Dove Creek town,21265,10821265,635,43,31,32,40,28,26,26,34,38,35,40,35,65,53,35,29,19,18,5,3
Durango city,22035,10822035,19071,719,830,920,1221,2732,1487,1509,1420,1167,1145,971,938,1124,1004,807,493,243,196,113,32
Eads town,22145,10822145,672,55,44,49,28,24,40,37,37,38,29,24,51,70,41,49,24,11,9,3,9
Eagle town,22200,10822200,7511,435,581,717,566,318,338,476,624,686,673,567,443,359,330,193,108,53,24,16,4
Eaton town,22860,10822860,5802,396,453,478,411,271,323,434,450,356,334,311,329,329,311,286,163,96,50,16,5
Eckley town,23025,10823025,232,17,6,24,20,8,12,22,13,5,13,16,17,28,8,5,4,7,5,2,0
Edgewater city,23135,10823135,5005,275,226,223,218,306,596,739,482,388,270,237,295,255,189,121,95,53,23,12,2
